FID	IID
CAMBRIDGE-BELIEVE_247860346_247860346	CAMBRIDGE-BELIEVE_247860346_247860346
CAMBRIDGE-BELIEVE_247861732_247861732	CAMBRIDGE-BELIEVE_247861732_247861732
CAMBRIDGE-BELIEVE_247862312_247862312	CAMBRIDGE-BELIEVE_247862312_247862312
CAMBRIDGE-BELIEVE_247862665_247862665	CAMBRIDGE-BELIEVE_247862665_247862665
CAMBRIDGE-BELIEVE_247863899_247863899	CAMBRIDGE-BELIEVE_247863899_247863899
CAMBRIDGE-BELIEVE_247864461_247864461	CAMBRIDGE-BELIEVE_247864461_247864461
CAMBRIDGE-BELIEVE_247864983_247864983	CAMBRIDGE-BELIEVE_247864983_247864983
CAMBRIDGE-BELIEVE_247865089_247865089	CAMBRIDGE-BELIEVE_247865089_247865089
CAMBRIDGE-BELIEVE_247866336_247866336	CAMBRIDGE-BELIEVE_247866336_247866336
CAMBRIDGE-BELIEVE_247866370_247866370	CAMBRIDGE-BELIEVE_247866370_247866370
CAMBRIDGE-BELIEVE_247866382_247866382	CAMBRIDGE-BELIEVE_247866382_247866382
CAMBRIDGE-BELIEVE_247866631_247866631	CAMBRIDGE-BELIEVE_247866631_247866631
CAMBRIDGE-BELIEVE_247867157_247867157	CAMBRIDGE-BELIEVE_247867157_247867157
CAMBRIDGE-BELIEVE_247867544_247867544	CAMBRIDGE-BELIEVE_247867544_247867544
CAMBRIDGE-BELIEVE_247867733_247867733	CAMBRIDGE-BELIEVE_247867733_247867733
CAMBRIDGE-BELIEVE_247867899_247867899	CAMBRIDGE-BELIEVE_247867899_247867899
CAMBRIDGE-BELIEVE_247868393_247868393	CAMBRIDGE-BELIEVE_247868393_247868393
CAMBRIDGE-BELIEVE_310007047_310007047	CAMBRIDGE-BELIEVE_310007047_310007047
CAMBRIDGE-BELIEVE_310007071_310007071	CAMBRIDGE-BELIEVE_310007071_310007071
CAMBRIDGE-BELIEVE_310007741_310007741	CAMBRIDGE-BELIEVE_310007741_310007741
CAMBRIDGE-BELIEVE_310008448_310008448	CAMBRIDGE-BELIEVE_310008448_310008448
CAMBRIDGE-BELIEVE_310008497_310008497	CAMBRIDGE-BELIEVE_310008497_310008497
CAMBRIDGE-BELIEVE_310008694_310008694	CAMBRIDGE-BELIEVE_310008694_310008694
CAMBRIDGE-BELIEVE_310009019_310009019	CAMBRIDGE-BELIEVE_310009019_310009019
CAMBRIDGE-BELIEVE_310009026_310009026	CAMBRIDGE-BELIEVE_310009026_310009026
CAMBRIDGE-BELIEVE_310009307_310009307	CAMBRIDGE-BELIEVE_310009307_310009307
CAMBRIDGE-BELIEVE_310009562_310009562	CAMBRIDGE-BELIEVE_310009562_310009562
CAMBRIDGE-BELIEVE_310022444_310022444	CAMBRIDGE-BELIEVE_310022444_310022444
CAMBRIDGE-BELIEVE_310041326_310041326	CAMBRIDGE-BELIEVE_310041326_310041326
CAMBRIDGE-BELIEVE_310041358_310041358	CAMBRIDGE-BELIEVE_310041358_310041358
CAMBRIDGE-BELIEVE_310041500_310041500	CAMBRIDGE-BELIEVE_310041500_310041500
CAMBRIDGE-BELIEVE_310041667_310041667	CAMBRIDGE-BELIEVE_310041667_310041667
CAMBRIDGE-BELIEVE_310042017_310042017	CAMBRIDGE-BELIEVE_310042017_310042017
CAMBRIDGE-BELIEVE_310042019_310042019	CAMBRIDGE-BELIEVE_310042019_310042019
CAMBRIDGE-BELIEVE_310042294_310042294	CAMBRIDGE-BELIEVE_310042294_310042294
CAMBRIDGE-BELIEVE_310042356_310042356	CAMBRIDGE-BELIEVE_310042356_310042356
CAMBRIDGE-BELIEVE_310042443_310042443	CAMBRIDGE-BELIEVE_310042443_310042443
CAMBRIDGE-BELIEVE_310043101_310043101	CAMBRIDGE-BELIEVE_310043101_310043101
CAMBRIDGE-BELIEVE_310048583_310048583	CAMBRIDGE-BELIEVE_310048583_310048583
CAMBRIDGE-BELIEVE_310048612_310048612	CAMBRIDGE-BELIEVE_310048612_310048612
CAMBRIDGE-BELIEVE_310049069_310049069	CAMBRIDGE-BELIEVE_310049069_310049069
