FID	IID
CAMBRIDGE-BELIEVE_241087868_241087868	CAMBRIDGE-BELIEVE_241087868_241087868
CAMBRIDGE-BELIEVE_241087888_241087888	CAMBRIDGE-BELIEVE_241087888_241087888
CAMBRIDGE-BELIEVE_241087900_241087900	CAMBRIDGE-BELIEVE_241087900_241087900
CAMBRIDGE-BELIEVE_241087911_241087911	CAMBRIDGE-BELIEVE_241087911_241087911
CAMBRIDGE-BELIEVE_241087912_241087912	CAMBRIDGE-BELIEVE_241087912_241087912
CAMBRIDGE-BELIEVE_241087923_241087923	CAMBRIDGE-BELIEVE_241087923_241087923
CAMBRIDGE-BELIEVE_241087935_241087935	CAMBRIDGE-BELIEVE_241087935_241087935
CAMBRIDGE-BELIEVE_247817629_247817629	CAMBRIDGE-BELIEVE_247817629_247817629
CAMBRIDGE-BELIEVE_247817813_247817813	CAMBRIDGE-BELIEVE_247817813_247817813
CAMBRIDGE-BELIEVE_247817820_247817820	CAMBRIDGE-BELIEVE_247817820_247817820
CAMBRIDGE-BELIEVE_247817840_247817840	CAMBRIDGE-BELIEVE_247817840_247817840
CAMBRIDGE-BELIEVE_247817869_247817869	CAMBRIDGE-BELIEVE_247817869_247817869
CAMBRIDGE-BELIEVE_247817880_247817880	CAMBRIDGE-BELIEVE_247817880_247817880
CAMBRIDGE-BELIEVE_247817958_247817958	CAMBRIDGE-BELIEVE_247817958_247817958
CAMBRIDGE-BELIEVE_247817999_247817999	CAMBRIDGE-BELIEVE_247817999_247817999
CAMBRIDGE-BELIEVE_247818006_247818006	CAMBRIDGE-BELIEVE_247818006_247818006
CAMBRIDGE-BELIEVE_247818028_247818028	CAMBRIDGE-BELIEVE_247818028_247818028
CAMBRIDGE-BELIEVE_247818046_247818046	CAMBRIDGE-BELIEVE_247818046_247818046
CAMBRIDGE-BELIEVE_247818123_247818123	CAMBRIDGE-BELIEVE_247818123_247818123
CAMBRIDGE-BELIEVE_247818124_247818124	CAMBRIDGE-BELIEVE_247818124_247818124
CAMBRIDGE-BELIEVE_247818131_247818131	CAMBRIDGE-BELIEVE_247818131_247818131
CAMBRIDGE-BELIEVE_247818133_247818133	CAMBRIDGE-BELIEVE_247818133_247818133
CAMBRIDGE-BELIEVE_247818170_247818170	CAMBRIDGE-BELIEVE_247818170_247818170
CAMBRIDGE-BELIEVE_247818177_247818177	CAMBRIDGE-BELIEVE_247818177_247818177
CAMBRIDGE-BELIEVE_247818273_247818273	CAMBRIDGE-BELIEVE_247818273_247818273
CAMBRIDGE-BELIEVE_247818372_247818372	CAMBRIDGE-BELIEVE_247818372_247818372
CAMBRIDGE-BELIEVE_247818376_247818376	CAMBRIDGE-BELIEVE_247818376_247818376
CAMBRIDGE-BELIEVE_247818380_247818380	CAMBRIDGE-BELIEVE_247818380_247818380
CAMBRIDGE-BELIEVE_247818391_247818391	CAMBRIDGE-BELIEVE_247818391_247818391
CAMBRIDGE-BELIEVE_247818407_247818407	CAMBRIDGE-BELIEVE_247818407_247818407
CAMBRIDGE-BELIEVE_247818481_247818481	CAMBRIDGE-BELIEVE_247818481_247818481
CAMBRIDGE-BELIEVE_247818482_247818482	CAMBRIDGE-BELIEVE_247818482_247818482
CAMBRIDGE-BELIEVE_247818533_247818533	CAMBRIDGE-BELIEVE_247818533_247818533
CAMBRIDGE-BELIEVE_247818560_247818560	CAMBRIDGE-BELIEVE_247818560_247818560
CAMBRIDGE-BELIEVE_247818571_247818571	CAMBRIDGE-BELIEVE_247818571_247818571
CAMBRIDGE-BELIEVE_247818658_247818658	CAMBRIDGE-BELIEVE_247818658_247818658
CAMBRIDGE-BELIEVE_247818712_247818712	CAMBRIDGE-BELIEVE_247818712_247818712
CAMBRIDGE-BELIEVE_247818722_247818722	CAMBRIDGE-BELIEVE_247818722_247818722
CAMBRIDGE-BELIEVE_247818729_247818729	CAMBRIDGE-BELIEVE_247818729_247818729
CAMBRIDGE-BELIEVE_247818734_247818734	CAMBRIDGE-BELIEVE_247818734_247818734
CAMBRIDGE-BELIEVE_247818743_247818743	CAMBRIDGE-BELIEVE_247818743_247818743
CAMBRIDGE-BELIEVE_247818773_247818773	CAMBRIDGE-BELIEVE_247818773_247818773
CAMBRIDGE-BELIEVE_247818781_247818781	CAMBRIDGE-BELIEVE_247818781_247818781
CAMBRIDGE-BELIEVE_247818783_247818783	CAMBRIDGE-BELIEVE_247818783_247818783
CAMBRIDGE-BELIEVE_247818785_247818785	CAMBRIDGE-BELIEVE_247818785_247818785
CAMBRIDGE-BELIEVE_247818802_247818802	CAMBRIDGE-BELIEVE_247818802_247818802
CAMBRIDGE-BELIEVE_247818865_247818865	CAMBRIDGE-BELIEVE_247818865_247818865
